index,total_mass,m1,m2,mc,eta,duration,target_snr,spin1z,spin2z,spin_min,spin_max,regime1,regime2,seed,kernel,log,backend,timed_out,parse_error,psd,injection,snr_rescale,rb_setup,rb_epsilon,rb_n_bins,map_laplace,rb_validation,warmup,flow_fit,equilibration,production,total,converged,rhat_max,ess_min,achieved_snr,worst_recovery_sigma,wall_clock_driver,returncode
0,2.8,1.4,1.4,1.2187707886145736,0.25,2048.0,21.64373629133578,-0.012920197576741878,0.025808774008537386,-0.05,0.05,ns,ns,42,mala,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps_v2/mala/inj_00_M2.8/run.log,cpu,False,,0.2034446140169166,11.56471835001139,,5.484378615044989,0.25,125.0,3.4469994716346264e-06,0.5487176069873385,32.08361328399042,15.110875710030086,107.66673600499053,969.0351234099944,1143.1276725829812,True,1.0099114755573784,9610.721799772764,21.6437,2.3286343899025677,1143.1276725829812,0
1,4.063761847383418,2.031880923691709,2.031880923691709,1.768855082670466,0.25,1024.0,19.633270638512315,0.042676498884860185,-0.014547403187013164,-0.05,0.05,ns,ns,43,mala,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps_v2/mala/inj_01_M4.1/run.log,cpu,False,,0.17560402600793168,17.62504259502748,,3.437721113965381,0.0625,499.0,4.047004040330648e-06,0.6502334410324693,39.40825006895466,20.479107662045863,264.929205968976,3789.6104893470183,4137.937853263982,True,1.0098940422760951,12310.997338140705,19.6333,2.3247401469937636,4137.937853263982,0
2,5.897914411517534,2.948957205758767,2.948957205758767,2.5672163566094586,0.25,512.0,22.151587519468293,0.014386512008066454,0.04706980243949033,-0.05,0.05,ns,ns,44,mala,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps_v2/mala/inj_02_M5.9/run.log,cpu,False,,0.12127289798809215,6.619130284991115,,1.4935602259938605,0.25,125.0,4.577974323183298e-06,0.7480054579791613,26.466053279000334,13.696758687961847,106.54681612900458,871.4851556170033,1028.878577837022,True,1.0097991952837195,11075.110778770173,22.151600000000002,3.6219596747465737,1028.878577837022,0
3,8.559899844520636,4.279949922260318,4.279949922260318,3.725912815702922,0.25,256.0,21.184208174356183,0.580970903887494,0.7076180183799559,-0.9,0.9,bh,bh,45,mala,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps_v2/mala/inj_03_M8.6/run.log,cpu,False,,0.11427246796665713,8.099626235023607,,1.038892048993148,0.0625,499.0,2.9669608920812607e-06,0.6524877540068701,33.636021959013306,16.854370354965795,200.83398583403323,2546.9615770549863,2809.733143410005,True,1.0095175905038645,7537.423977543641,21.1842,3.9238794072667944,2809.733143410005,0
6,26.16853048150871,13.084265240754355,13.084265240754355,11.3905144756546,0.25,64.0,21.56683821194212,0.09825261662850264,-0.05990219329133848,-0.9,0.9,bh,bh,48,mala,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps_v2/mala/inj_06_M26.2/run.log,cpu,False,,0.08272107801167294,6.862295588012785,,0.5261687340098433,0.25,125.0,3.035995177924633e-06,0.5674877479905263,28.02345353795681,17.653826171008404,95.27753091201885,4447.725698109018,4599.011121760006,False,1.0128914310102006,5649.1797769990735,21.566800000000004,1.30507881561203,4599.011121760006,1
8,55.121340376830766,27.560670188415383,27.560670188415383,23.9929569573437,0.25,16.0,17.768681796053276,0.5897361095866478,-0.622278914278414,-0.9,0.9,bh,bh,50,mala,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps_v2/mala/inj_08_M55.1/run.log,cpu,False,,0.07154096598969772,7.897479812963866,,0.46749619400361553,0.0625,490.0,2.228014636784792e-06,0.6729349489905871,31.26216928800568,17.52603798499331,201.4682333910023,3480.826273277984,3741.7823109359597,True,1.009906993266728,8522.427902088422,17.768699999999995,9.285821185302174,3741.7823109359597,0
9,80.0,40.0,40.0,34.82202253184496,0.25,8.0,19.7023156273734,0.23699591841971673,0.32948811583641835,-0.9,0.9,bh,bh,51,mala,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps_v2/mala/inj_09_M80.0/run.log,cpu,False,,0.05954095599008724,6.365009908971842,,0.367170441953931,0.25,124.0,2.8259819373488426e-06,0.49186795501736924,26.84810863097664,15.258120212005451,99.31845700298436,1712.21032861399,1862.228610398015,True,1.0098577908186008,15153.75111775239,19.702299999999997,2.338626577847842,1862.228610398015,0
