index,total_mass,m1,m2,mc,eta,duration,target_snr,spin1z,spin2z,spin_min,spin_max,regime1,regime2,seed,kernel,log,backend,timed_out,parse_error,psd,injection,snr_rescale,rb_setup,rb_epsilon,rb_n_bins,map_laplace,rb_validation,warmup,flow_fit,equilibration,production,total,converged,rhat_max,ess_min,achieved_snr,worst_recovery_sigma,wall_clock_driver,returncode
0,2.8,1.4,1.4,1.2187707886145736,0.25,2048.0,21.64373629133578,-0.012920197576741878,0.025808774008537386,-0.05,0.05,ns,ns,42,hmc,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps_v2/hmc/inj_00_M2.8/run.log,cpu,False,,0.24576103797880933,13.449010582990013,,5.447382931015454,0.25,125.0,2.796004991978407e-06,0.6328641489963047,83.94329833699157,17.018571122025605,142.62935562001076,1042.6548957950436,1307.5576483869809,True,1.0099264146939053,9664.082673893454,21.6437,1.8534332708226091,1307.5576483869809,0
1,4.063761847383418,2.031880923691709,2.031880923691709,1.768855082670466,0.25,1024.0,19.633270638512315,0.042676498884860185,-0.014547403187013164,-0.05,0.05,ns,ns,43,hmc,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps_v2/hmc/inj_01_M4.1/run.log,cpu,False,,0.18777634901925921,17.671680969011504,,3.479675771028269,0.0625,499.0,3.684952389448881e-06,0.616377008962445,178.03516691096593,24.903529133007396,300.0294388909824,3612.5316712139756,4138.959025578981,True,1.0096877832433386,10094.572707928926,19.6333,2.004310964346975,4138.959025578981,0
2,5.897914411517534,2.948957205758767,2.948957205758767,2.5672163566094586,0.25,512.0,22.151587519468293,0.014386512008066454,0.04706980243949033,-0.05,0.05,ns,ns,44,hmc,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps_v2/hmc/inj_02_M5.9/run.log,cpu,False,,0.13392083899816498,7.684023467998486,,1.4259266850422136,0.25,125.0,2.963992301374674e-06,0.5577768249786459,53.22907928598579,16.374387834977824,93.03434416401433,513.2953033069498,686.9531736770296,True,1.0098349888159055,9339.510225586631,22.151600000000002,2.895060456800945,686.9531736770296,0
3,8.559899844520636,4.279949922260318,4.279949922260318,3.725912815702922,0.25,256.0,21.184208174356183,0.580970903887494,0.7076180183799559,-0.9,0.9,bh,bh,45,hmc,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps_v2/hmc/inj_03_M8.6/run.log,cpu,False,,0.12666194600751624,11.60428528196644,,0.8672869399888441,0.0625,499.0,3.154040314257145e-06,0.5226670909905806,148.77686631400138,21.96773984399624,255.85440145101165,3448.3356962359976,3889.3758751369896,True,1.0098521576618995,9044.60908887065,21.1842,1.894805663827766,3889.3758751369896,0
6,26.16853048150871,13.084265240754355,13.084265240754355,11.3905144756546,0.25,64.0,21.56683821194212,0.09825261662850264,-0.05990219329133848,-0.9,0.9,bh,bh,48,hmc,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps_v2/hmc/inj_06_M26.2/run.log,cpu,False,,0.0717876210110262,9.383113179006614,,0.4796850439743139,0.25,125.0,3.0599767342209816e-06,0.5380269849556498,71.63464655104326,14.470975178002845,115.90322893799748,1353.9681727520074,1567.7176557499915,True,1.0099611409496054,3860.7399647947846,21.566800000000004,0.9024560892933117,1567.7176557499915,0
8,55.121340376830766,27.560670188415383,27.560670188415383,23.9929569573437,0.25,16.0,17.768681796053276,0.5897361095866478,-0.622278914278414,-0.9,0.9,bh,bh,50,hmc,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps_v2/hmc/inj_08_M55.1/run.log,cpu,False,,0.045644817990250885,10.372924101015087,,0.5134002520353533,0.0625,490.0,3.171968273818493e-06,0.6667083729989827,151.4205312600243,17.278364088968374,233.61684067797614,2373.141312905005,2788.5459370570024,True,1.0098663982072205,2461.190748254997,17.768699999999995,5.159266921369331,2788.5459370570024,0
9,80.0,40.0,40.0,34.82202253184496,0.25,8.0,19.7023156273734,0.23699591841971673,0.32948811583641835,-0.9,0.9,bh,bh,51,hmc,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps_v2/hmc/inj_09_M80.0/run.log,cpu,False,,0.06404285796452314,8.473289732995909,,0.5726152670104057,0.25,124.0,3.2009556889533997e-06,0.7538337059668265,73.76762285799487,13.850426725985017,87.97266805602703,595.8656861639465,783.1320870229974,True,1.00949562178793,8109.321104343558,19.702299999999997,1.4325153323798836,783.1320870229974,0
