index,total_mass,m1,m2,mc,eta,duration,target_snr,spin1z,spin2z,spin_min,spin_max,regime1,regime2,seed,kernel,returncode,timed_out,wall_clock_driver,backend,log,psd,injection,snr_rescale,rb_setup,rb_epsilon,rb_n_bins,map_laplace,rb_validation,warmup,flow_fit,equilibration,production,total,converged,rhat_max,ess_min,achieved_snr,worst_recovery_sigma,parse_error
0,2.8,1.4,1.4,1.2187707886145736,0.25,2048.0,21.64373629133578,-0.012920197576741878,0.025808774008537386,-0.05,0.05,ns,ns,42,uld,1,False,806.1365113109932,cpu,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps/uld/inj_00_M2.8/run.log,0.153724919015076,7.3508129640249535,,3.0765798039501533,0.25,125.0,2.4070031940937042e-06,0.3405575029901229,17.159883659041952,8.578793137043249,50.449436218012124,711.029733169009,799.4702122769668,False,1.8426426159697322,1327872.0,21.6437,nan,
1,4.063761847383418,2.031880923691709,2.031880923691709,1.768855082670466,0.25,1024.0,19.633270638512315,0.042676498884860185,-0.014547403187013164,-0.05,0.05,ns,ns,43,uld,1,False,840.7658182640444,cpu,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps/uld/inj_01_M4.1/run.log,0.09360392700182274,5.676065495994408,,1.5173000670038164,0.0625,499.0,3.0520022846758366e-06,0.3345384079730138,17.525690046022646,8.658260903030168,75.61732083099196,724.8772266699816,835.3763810020173,False,2.2570390799483393,529152.0,19.6333,nan,
2,5.897914411517534,2.948957205758767,2.948957205758767,2.5672163566094586,0.25,512.0,22.151587519468293,0.014386512008066454,0.04706980243949033,-0.05,0.05,ns,ns,44,uld,1,False,807.8415109219495,cpu,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps/uld/inj_02_M5.9/run.log,0.060241510975174606,5.15692645899253,,0.8670034399838187,0.25,125.0,2.1129962988197803e-06,0.33282506198156625,16.8801956140087,8.803771217004396,49.83632681501331,718.0132160470239,801.2714265840477,False,1.3517000822574563,1357824.0,22.151600000000002,nan,
3,8.559899844520636,4.279949922260318,4.279949922260318,3.725912815702922,0.25,256.0,21.184208174356183,0.580970903887494,0.7076180183799559,-0.9,0.9,bh,bh,45,uld,1,False,835.5247744770022,cpu,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps/uld/inj_03_M8.6/run.log,0.04451428196625784,5.273821248032618,,0.5545280830119736,0.0625,499.0,1.6269623301923275e-06,0.3557769170147367,18.098435759951826,8.592975954990834,75.7268935549655,720.5035137310042,830.1940545490361,False,3.1162211640983277,1173.3603287171634,21.1842,3.7946996980919523,
4,12.42335514485222,6.21167757242611,6.21167757242611,5.4075794096894505,0.25,256.0,17.565064087325897,-0.10185444211080397,0.5010902947327713,-0.9,0.9,bh,bh,46,uld,-1,True,2405.4677272239933,cpu,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps/uld/inj_04_M12.4/run.log,,,,,,,,,,,,,,False,,,,,
5,18.030555947908912,9.015277973954456,9.015277973954456,7.848255318497191,0.25,128.0,22.853734109820536,-0.4909703007874016,-0.5496503258664583,-0.9,0.9,bh,bh,47,uld,-1,True,2405.4609604330035,cpu,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps/uld/inj_05_M18.0/run.log,,,,,,,,,,,,,,False,,,,,
6,26.16853048150871,13.084265240754355,13.084265240754355,11.3905144756546,0.25,64.0,21.56683821194212,0.09825261662850264,-0.05990219329133848,-0.9,0.9,bh,bh,48,uld,1,False,810.9651765219751,cpu,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps/uld/inj_06_M26.2/run.log,0.031048509990796447,5.1291938869981095,,0.3017405890277587,0.25,125.0,1.685053575783968e-06,0.33960084000136703,17.449023961031344,8.475660197960678,52.21960857900558,719.0845584509661,804.3573287859908,False,2.175474421157667,1357824.0,21.566799999999997,nan,
7,37.97952706173042,18.98976353086521,18.98976353086521,16.5315493386549,0.25,32.0,21.716385831661725,-0.7851289390124845,-0.8211532215829882,-0.9,0.9,bh,bh,49,uld,-1,True,2405.4445520969457,cpu,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps/uld/inj_07_M38.0/run.log,,,,,,,,,,,,,,False,,,,,
8,55.121340376830766,27.560670188415383,27.560670188415383,23.9929569573437,0.25,16.0,17.768681796053276,0.5897361095866478,-0.622278914278414,-0.9,0.9,bh,bh,50,uld,1,False,825.9319799169898,cpu,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps/uld/inj_08_M55.1/run.log,0.02860459900693968,5.026456430030521,,0.26437989197438583,0.0625,490.0,1.6079866327345371e-06,0.3705352090182714,17.871841776010115,8.775481715041678,72.80862500699004,714.3139930920443,820.5491507709958,False,2.383270798935975,539136.0,17.768699999999995,nan,
9,80.0,40.0,40.0,34.82202253184496,0.25,8.0,19.7023156273734,0.23699591841971673,0.32948811583641835,-0.9,0.9,bh,bh,51,uld,1,False,806.8911546299933,cpu,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps/uld/inj_09_M80.0/run.log,0.028128220001235604,4.912695856008213,,0.26324618299258873,0.25,124.0,1.8139835447072983e-06,0.3425461780279875,17.289311042055488,8.527684527973179,52.737021888024174,714.8838008120074,800.3200170219643,False,2.856894558482511,381.65726292443117,19.702299999999997,12.403269417237244,
