index,total_mass,m1,m2,mc,eta,duration,target_snr,spin1z,spin2z,spin_min,spin_max,regime1,regime2,seed,kernel,log,backend,timed_out,parse_error,psd,injection,snr_rescale,rb_setup,rb_epsilon,rb_n_bins,map_laplace,rb_validation,warmup,flow_fit,equilibration,production,total,converged,rhat_max,ess_min,achieved_snr,worst_recovery_sigma,wall_clock_driver,returncode
0,2.8,1.4,1.4,1.2187707886145736,0.25,2048.0,21.64373629133578,-0.012920197576741878,0.025808774008537386,-0.05,0.05,ns,ns,42,random-walk,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps_v2/random-walk/inj_00_M2.8/run.log,cpu,False,,0.2793991410289891,11.901213871024083,,4.625373249989934,0.25,125.0,2.759043127298355e-06,0.493384606030304,8.85331352497451,15.752292725024745,80.51644693798153,627.0723335799994,750.6698256820091,True,1.0098136371293,14200.751632330515,21.6437,2.105034564950189,750.6698256820091,0
1,4.063761847383418,2.031880923691709,2.031880923691709,1.768855082670466,0.25,1024.0,19.633270638512315,0.042676498884860185,-0.014547403187013164,-0.05,0.05,ns,ns,43,random-walk,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps_v2/random-walk/inj_01_M4.1/run.log,cpu,False,,0.17088238801807165,9.262726989982184,,2.4464634279720485,0.0625,499.0,2.6790075935423374e-06,0.5452489389572293,11.360949418973178,18.1587944929488,180.98581744497642,2345.925067987002,2570.2094838829944,True,1.0096984270962273,8915.127970691554,19.6333,2.17747981391288,2570.2094838829944,0
2,5.897914411517534,2.948957205758767,2.948957205758767,2.5672163566094586,0.25,512.0,22.151587519468293,0.014386512008066454,0.04706980243949033,-0.05,0.05,ns,ns,44,random-walk,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps_v2/random-walk/inj_02_M5.9/run.log,cpu,False,,0.13678172504296526,8.224723858002108,,1.647369668004103,0.25,125.0,4.973961040377617e-06,0.7987492639804259,10.654130951035768,14.505040257994551,86.63731862499844,480.87641111999983,605.2457833359949,True,1.0096660215527078,11269.676700138205,22.151600000000002,3.078670091257364,605.2457833359949,0
3,8.559899844520636,4.279949922260318,4.279949922260318,3.725912815702922,0.25,256.0,21.184208174356183,0.580970903887494,0.7076180183799559,-0.9,0.9,bh,bh,45,random-walk,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps_v2/random-walk/inj_03_M8.6/run.log,cpu,False,,0.06282058701617643,8.402733442024328,,1.0537738369894214,0.0625,499.0,3.8800062611699104e-06,0.6198274840135127,12.426112140994519,16.92443714401452,199.8341514240019,3399.268920658971,3640.4422916019685,True,1.0099503783619042,13558.893069037113,21.1842,2.344436690412332,3640.4422916019685,0
6,26.16853048150871,13.084265240754355,13.084265240754355,11.3905144756546,0.25,64.0,21.56683821194212,0.09825261662850264,-0.05990219329133848,-0.9,0.9,bh,bh,48,random-walk,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps_v2/random-walk/inj_06_M26.2/run.log,cpu,False,,0.0509602899546735,6.280119529983494,,0.44366431201342493,0.25,125.0,2.6060151867568493e-06,0.557126936968416,9.944338721048553,16.13034349598456,83.42845449701417,2799.981412430003,2918.898938607017,True,1.0099772017006516,9400.60767078686,21.566800000000004,1.0646789416238966,2918.898938607017,0
8,55.121340376830766,27.560670188415383,27.560670188415383,23.9929569573437,0.25,16.0,17.768681796053276,0.5897361095866478,-0.622278914278414,-0.9,0.9,bh,bh,50,random-walk,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps_v2/random-walk/inj_08_M55.1/run.log,cpu,False,,0.06801439699484035,7.510590398975182,,0.47551439300877973,0.0625,490.0,1.9859871827065945e-06,0.6253963769995607,13.018085338990204,17.18176821700763,203.64843978598947,1899.9841068499954,2143.9544479079777,True,1.0097731220983288,9427.619771370913,17.768699999999995,8.413114483847114,2143.9544479079777,0
9,80.0,40.0,40.0,34.82202253184496,0.25,8.0,19.7023156273734,0.23699591841971673,0.32948811583641835,-0.9,0.9,bh,bh,51,random-walk,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps_v2/random-walk/inj_09_M80.0/run.log,cpu,False,,0.05054720403859392,6.223703931027558,,0.4975749009754509,0.25,124.0,3.1819799914956093e-06,0.49621908500557765,9.758234078006353,13.967988491989672,95.20755020598881,1758.732750552008,1886.4375421860022,True,1.0098576817971516,15070.39124583402,19.702299999999997,1.9042915022439388,1886.4375421860022,0
