index,total_mass,m1,m2,mc,eta,duration,target_snr,spin1z,spin2z,spin_min,spin_max,regime1,regime2,seed,kernel,log,backend,timed_out,parse_error,psd,injection,snr_rescale,rb_setup,rb_epsilon,rb_n_bins,map_laplace,rb_validation,warmup,flow_fit,equilibration,production,total,converged,rhat_max,ess_min,achieved_snr,worst_recovery_sigma,wall_clock_driver,returncode
0,2.8,1.4,1.4,1.2187707886145736,0.25,2048.0,21.64373629133578,-0.012920197576741878,0.025808774008537386,-0.05,0.05,ns,ns,42,mmala,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps_v2/mmala/inj_00_M2.8/run.log,cpu,False,,0.20123812300153077,12.721970007987693,,5.243029250006657,0.25,125.0,3.8869911804795265e-06,0.557809594029095,28.987422909005545,13.30934283300303,102.40963091002777,1014.3026479390101,1179.5116674000164,True,1.009960867288622,10530.078105842136,21.6437,2.3625544665154155,1179.5116674000164,0
1,4.063761847383418,2.031880923691709,2.031880923691709,1.768855082670466,0.25,1024.0,19.633270638512315,0.042676498884860185,-0.014547403187013164,-0.05,0.05,ns,ns,43,mmala,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps_v2/mmala/inj_01_M4.1/run.log,cpu,False,,0.1797582030412741,17.304948374978267,,3.568512792000547,0.0625,499.0,3.434019163250923e-06,0.6382358660339378,40.92437824100489,20.72241689899238,265.8130383089883,5424.108302759996,5775.693836169958,False,1.0135796726300914,11291.590209761747,19.6333,2.3748208017338066,5775.693836169958,1
2,5.897914411517534,2.948957205758767,2.948957205758767,2.5672163566094586,0.25,512.0,22.151587519468293,0.014386512008066454,0.04706980243949033,-0.05,0.05,ns,ns,44,mmala,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps_v2/mmala/inj_02_M5.9/run.log,cpu,False,,0.12702074996195734,7.5920840200269595,,1.2546335670049302,0.25,125.0,3.200024366378784e-06,0.5596927119768225,32.20213892596075,14.415732744033448,100.9635739439982,910.1601941839908,1068.6291880970239,True,1.0099695242439448,10254.853742177665,22.151600000000002,4.185207684497473,1068.6291880970239,0
3,8.559899844520636,4.279949922260318,4.279949922260318,3.725912815702922,0.25,256.0,21.184208174356183,0.580970903887494,0.7076180183799559,-0.9,0.9,bh,bh,45,mmala,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps_v2/mmala/inj_03_M8.6/run.log,cpu,False,,0.09548120701219887,11.506164668011479,,1.6551668150350451,0.0625,499.0,4.097004421055317e-06,1.0380791999632493,41.39350490196375,16.179535249015316,239.26046973501798,5405.921972198994,5719.93650640297,False,1.0320272679836997,2332.0320218905767,21.1842,4.15033749336018,5719.93650640297,1
6,26.16853048150871,13.084265240754355,13.084265240754355,11.3905144756546,0.25,64.0,21.56683821194212,0.09825261662850264,-0.05990219329133848,-0.9,0.9,bh,bh,48,mmala,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps_v2/mmala/inj_06_M26.2/run.log,cpu,False,,0.07296283799223602,6.73327758704545,,0.5179265969782136,0.25,125.0,2.408982254564762e-06,0.5786207279888913,33.27188370999647,14.735608857998159,107.77774966100696,1959.0706319489982,2124.3414577000076,True,1.0099588734212575,11675.69377129342,21.566800000000004,1.3213725507352154,2124.3414577000076,0
8,55.121340376830766,27.560670188415383,27.560670188415383,23.9929569573437,0.25,16.0,17.768681796053276,0.5897361095866478,-0.622278914278414,-0.9,0.9,bh,bh,50,mmala,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps_v2/mmala/inj_08_M55.1/run.log,cpu,False,,0.03864716098178178,7.699048125010449,,0.5013803790207021,0.0625,490.0,3.1410017982125282e-06,0.6687230739626102,33.3323388560093,17.277545187971555,205.69377284002258,1864.3042922759778,2131.0083853310207,True,1.0098142762850812,6411.533492498617,17.768699999999995,9.889213756325645,2131.0083853310207,0
9,80.0,40.0,40.0,34.82202253184496,0.25,8.0,19.7023156273734,0.23699591841971673,0.32948811583641835,-0.9,0.9,bh,bh,51,mmala,/tmp/claude-1000/-home-prayush-src-jaxpe/21fae678-1c47-41e1-a2d6-952a65f6933e/scratchpad/sweeps_v2/mmala/inj_09_M80.0/run.log,cpu,False,,0.11385897500440478,8.573191180010326,,0.6744499349733815,0.25,124.0,2.637971192598343e-06,0.9317436370183714,32.101629103999585,14.250336238008458,100.22905188298319,2367.3401544379885,2526.748336079996,True,1.0099682298046007,14632.100281135257,19.702299999999997,1.6671859405440115,2526.748336079996,0
